#{"t_start": 1762632990.989535, "env_id": "None"}
r,l,t
-200.0,1,490.134411
497.05,114,491.709117
-200.0,1,491.74103
-200.0,1,491.775585
-200.0,1,491.805037
918.6,177,494.246139
-200.0,1,494.277946
-200.0,1,494.310121
-200.0,1,494.342563
626.3,153,496.458311
-200.0,1,496.490986
-200.0,1,496.526173
-200.0,1,496.56001
1178.05,206,499.427835
-200.0,1,499.459472
-200.0,1,499.493242
-200.0,1,499.525075
-200.0,1,499.560518
1600.85,210,502.441568
-200.0,1,502.47438
-200.0,1,502.508818
-200.0,1,502.539323
641.95,156,505.159152
-200.0,1,505.19104
-200.0,1,505.222621
-200.0,1,505.25256
192.55,78,506.332045
-200.0,1,506.36544
-200.0,1,506.398996
-200.0,1,506.429333
868.55,188,509.056227
-200.0,1,509.089711
-200.0,1,509.124551
-200.0,1,509.158043
545.05,108,510.650004
-200.0,1,510.682566
-200.0,1,510.71348
-200.0,1,510.745393
818.45,226,513.889915
-200.0,1,513.923844
-200.0,1,513.957847
-200.0,1,513.992032
-200.0,1,514.026363
927.15,188,516.623598
-200.0,1,516.659834
-200.0,1,516.693439
-200.0,1,516.723513
947.8,181,519.216983
-200.0,1,519.246797
-200.0,1,519.277227
-200.0,1,519.309622
-23.95,70,520.269804
-200.0,1,520.301671
-200.0,1,520.331534
-200.0,1,520.361612
-10.6,87,521.565509
-200.0,1,521.59775
-200.0,1,521.629614
-200.0,1,521.65897
-200.0,1,521.69141
-200.0,1,521.723716
-127.9,23,522.052264
-200.0,1,522.085851
-200.0,1,522.118686
-200.0,1,522.150261
-157.65,14,522.356769
-200.0,1,522.390394
-200.0,1,522.424329
-200.0,1,522.45784
1050.85,172,524.864392
-200.0,1,524.897334
-200.0,1,524.928849
-200.0,1,524.96078
2068.35,354,529.83838
-200.0,1,529.868494
-200.0,1,529.898025
-200.0,1,529.928633
-22.75,60,530.757825
-200.0,1,530.791453
-200.0,1,530.825526
-200.0,1,530.85902
-200.0,1,530.891267
-200.0,1,530.92394
83.55,128,532.704653
-200.0,1,532.737038
-200.0,1,532.770258
-200.0,1,532.802127
-171.15,12,532.983413
-200.0,1,533.016411
-200.0,1,533.046799
-200.0,1,533.077207
1824.9,281,537.388851
-200.0,1,537.42331
-200.0,1,537.457404
-200.0,1,537.488565
-200.0,1,537.520713
-18.2,31,537.969145
-200.0,1,538.000853
-200.0,1,538.032287
-200.0,1,538.063534
629.45,116,539.672741
-200.0,1,539.70597
-200.0,1,539.742674
-200.0,1,539.774545
-200.0,1,539.805026
1277.2,249,543.248257
-200.0,1,543.279137
-200.0,1,543.310913
-200.0,1,543.341834
1829.3,271,547.093786
-200.0,1,547.125926
-200.0,1,547.158311
-200.0,1,547.189702
-200.0,1,547.223628
-72.45,56,548.009368
-200.0,1,548.043398
-200.0,1,548.076874
-200.0,1,548.106429
-200.0,1,548.136589
2382.0,311,552.423746
-200.0,1,552.457409
-200.0,1,552.490786
-200.0,1,552.524165
3589.75,578,560.482767
-200.0,1,560.516724
-200.0,1,560.548957
-200.0,1,560.579914
-83.35,46,561.235467
-200.0,1,561.265999
-200.0,1,561.296819
-200.0,1,561.32904
-204.75,8,561.454441
-200.0,1,561.487011
-200.0,1,561.520676
-200.0,1,561.553494
513.8,151,564.114788
-200.0,1,564.146973
-200.0,1,564.178555
-200.0,1,564.210924
-142.15,36,564.719535
-200.0,1,564.750611
-200.0,1,564.780761
-200.0,1,564.811183
760.75,182,567.3143
-200.0,1,567.345678
-200.0,1,567.377106
-200.0,1,567.407314
117.8,113,568.96843
-200.0,1,569.001304
-200.0,1,569.033753
-200.0,1,569.064809
574.15,130,570.862198
-200.0,1,570.893348
-200.0,1,570.929157
-200.0,1,570.958812
401.05,230,574.130376
-200.0,1,574.163058
-200.0,1,574.197796
-200.0,1,574.228595
293.4,165,576.489851
-200.0,1,576.523345
-200.0,1,576.557897
-200.0,1,576.591289
-200.0,1,576.623511
469.7,125,578.346527
-200.0,1,578.379166
-200.0,1,578.411804
-200.0,1,578.444205
153.25,62,579.318533
-200.0,1,579.351829
-200.0,1,579.384273
-200.0,1,579.415407
2707.55,442,585.483734
-200.0,1,585.515748
-200.0,1,585.545977
-200.0,1,585.576515
-200.0,1,585.607066
-200.0,1,585.639281
-62.6,65,586.555338
-200.0,1,586.590013
-200.0,1,586.623639
-200.0,1,586.656275
922.55,218,589.666458
-200.0,1,589.698915
-200.0,1,589.731582
-200.0,1,589.761961
83.6,73,590.751991
-200.0,1,590.784161
-200.0,1,590.816906
-200.0,1,590.847039
-55.65,52,591.582288
-200.0,1,591.615135
-200.0,1,591.648239
-200.0,1,591.67954
-200.0,1,591.710294
249.9,75,593.20494
-200.0,1,593.235929
-200.0,1,593.27041
-200.0,1,593.301006
613.3,89,594.545603
-200.0,1,594.578859
-200.0,1,594.609755
-200.0,1,594.646336
2025.2,317,599.003342
-200.0,1,599.036657
-200.0,1,599.069255
-200.0,1,599.102382
-125.35,16,599.329963
-200.0,1,599.362121
-200.0,1,599.394528
-200.0,1,599.4255
-200.0,1,599.456219
557.25,118,601.06923
-200.0,1,601.1035
-200.0,1,601.137143
-200.0,1,601.171654
-200.0,1,601.20352
-200.0,1,601.23512
460.35,108,602.730266
-200.0,1,602.761716
-200.0,1,602.794469
-200.0,1,602.826189
1150.85,176,605.253458
-200.0,1,605.283846
-200.0,1,605.313839
-200.0,1,605.34417
-202.2,9,605.477747
-200.0,1,605.509943
-200.0,1,605.542588
-200.0,1,605.572505
92.3,55,606.354223
-200.0,1,606.386766
-200.0,1,606.419754
-200.0,1,606.451423
278.8,121,608.110513
-200.0,1,608.143423
-200.0,1,608.173676
-200.0,1,608.206471
-193.65,4,608.273394
-200.0,1,608.307639
-200.0,1,608.338538
